Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,In Development,Refined,Ready for test,In Testing,Blocked,Waiting for acceptance,Done,Abandoned,,,,,,
,SOL-1511,[MVP][IT Maintenance] Create system recovery plan,,864.45h,,2.75h,,1121.13h,,,0.00h,,,,,,,,,,
,SOL-1503,[Funds Update automation] UC6B case automation EE,3/4/26,333.70h,,,,336.55h,,,,,,1339.95h,,,,,,,
,SOL-1502,[Funds Update automation] UC5A case automation EE & LV & LT,2/18/26,167.83h,,,,165.87h,,,,,,1676.58h,,,,,,,
,SOL-1501,[Funds Update automation] UC10 case automation LV & LT,2/9/26,46.52h,,,,74.80h,,,,,,1889.02h,,,,,,,
,SOL-1500,[Funds Update automation] UC21 case automation LT,2/10/26,137.05h,,,,6.43h,,,,,,1866.85h,,,,,,,
,SOL-1499,[Funds Update automation] UC1C case automation LV & LT,2/5/26,0.27h,,,,22.05h,,,,,,1988.15h,,,,,,,
,SOL-1498,[Funds Update automation] UC6A case automation LV & LT,2/6/26,22.37h,,,,24.28h,,,,,,1963.83h,,,,,,,
,SOL-1497,[Funds Update automation] UC1B case automation LV & LT,2/4/26,0.00h,,,,1.45h,,,,,,2010.85h,,,,,,,
,SOL-1495,[Booking automation] create BOOKING-PODM automated tests for podm_credited_benef_trn_updated scenario,2/5/26,0.02h,,,,54.00h,,,,,,1981.82h,,,,,,,
,SOL-1494,[API] Develop Account Alias name lookup API,3/24/26,21.95h,0.82h,,,144.03h,689.83h,242.12h,94.63h,,,864.62h,,,,,,,
,SOL-1493,[API] Develop Payments Exclusions List lookup API,3/27/26,22.32h,0.75h,,,162.92h,311.90h,719.58h,47.12h,,,793.78h,,,,,,,
,SOL-1492,[TPH] [EndToEnd] Clean up test payments in TPH UI after execution,,0.00h,359.58h,,,6.02h,521.13h,,,,,,1172.13h,,,,,,
,SOL-1491,[CORR_ACC API] Replace settlement date with current banking date in case settlement date is in the past,3/25/26,0.20h,26.05h,,,119.03h,355.58h,604.62h,114.10h,,,842.23h,,,,,,,
,SOL-1490,[TPH] [EndToEnd] - Incoming customer pacs.008 payment EXCEPTIONAL flow Automation,,766.30h,,,,458.55h,837.08h,,,,,,,,,,,,
,SOL-1489,[TPH] [EndToEnd] - Incoming customer pacs.009 payment EXCEPTIONAL flow Automation,,767.12h,,,,,1295.62h,,,,,,,,,,,,
,SOL-1488,[TPH] [EndToEnd] - Incoming customer pacs.009 payment HAPPY PATH Automation - priority 1 part 1,2/25/26,361.62h,,,,189.38h,,,,,0.00h,1511.75h,,,,,,,
,SOL-1487,[Funds Update] Position Keeping transactionDate mapping improvement,3/20/26,0.00h,26.32h,0.85h,,118.38h,355.63h,603.27h,,,,958.35h,,,,,,,
,SOL-1486,[Booking automation] Add/edit missing standard value for dummy podm request,2/3/26,21.33h,,,,6.25h,,,,,,2035.68h,,,,,,,
,SOL-1485,Improve e2e framework to send connected isox messages,2/6/26,0.53h,,,,95.87h,,,,,,1969.47h,,,,,,,
,SOL-1484,Improve e2e performance,2/3/26,92.28h,,,,24.88h,,,,,,2040.57h,,,,,,,
,SOL-1483,Verify Sterling jobs successful file drop in EAP for Report Reconciliation,,315.28h,0.00h,,1868.80h,,,,,,,,,,,,,,
,SOL-1476,[MVP][Payments Operations ] TPH UI Trainings & UAT Testing,,0.08h,,,,2253.75h,,,,,,,,,,,,,
,SOL-1475,Gate env setup for TPH integration layer,3/9/26,0.00h,234.22h,,,841.87h,,,,,,1223.20h,,,,,,,
,SOL-1474,Add additional pipeline step for our/Tieto SQL scripts,,0.00h,600.85h,,,551.08h,1147.90h,,,,,,,,,,,,
,SOL-1472,Migrate from CasC to SealedSecrets in app repo,3/3/26,0.00h,238.80h,,,190.87h,0.00h,509.85h,,,,1363.68h,,,,,,,
,SOL-1469,[Funds Update automation] UC35 case automation EE,,151.65h,,71.85h,,18.23h,,,,,,,2063.02h,,,,,,
,SOL-1468,[Funds Update automation] UC33 case automation EE,1/29/26,126.22h,,,,25.40h,,,,,,2153.17h,,,,,,,
,SOL-1467,[Funds Update automation] UC10 case automation EE,1/27/26,75.53h,,,,22.68h,,,,,,2206.57h,,,,,,,
,SOL-1466,[Funds Update automation] UC21 case automation EE,1/28/26,98.27h,,,,27.95h,,,,,,2178.60h,,,,,,,
,SOL-1464,[MVP][CORE DB] Change comparison report data preparation procedure to include incoming TPH payments use cases,2/20/26,110.13h,207.13h,,,44.78h,,79.17h,258.05h,,,1631.57h,,,,,,,
,SOL-1463,[API] Analyze and Define Payment Reference Data API Model and Endpoints,2/4/26,14.45h,,313.08h,,,,,,,,2015.15h,,,,,,,
,SOL-1462,[API] Develop Global Properties lookup API,3/20/26,306.75h,0.73h,,,246.77h,70.47h,714.17h,44.52h,,,959.43h,,,,,,,
,SOL-1461,[API] Develop Payment ISO Reason Code Name Lookup API,3/25/26,306.72h,0.63h,,,164.07h,24.90h,981.92h,23.12h,,,841.48h,,,,,,,
,SOL-1460,[Funds Update automation] UC1C case automation EE,1/26/26,0.00h,,,,113.98h,,,,,,2231.38h,,,,,,,
,SOL-1458,Improve FU Pricing API mapping (channelCode),,0.05h,168.15h,2040.78h,,92.27h,23.92h,22.85h,,,,,,,,,,,
,SOL-1457,Create a pipeline to deploy TPH to all environments,,45.77h,605.15h,,,1057.53h,641.33h,,,,,,,,,,,,
,SOL-1456,Create a pipeline to get TPH release artifacts,,46.03h,605.18h,,,1177.18h,521.77h,,,,,,,,,,,,
,SOL-1455,Migrate TPH repositories to Github for development,3/6/26,0.02h,271.67h,44.02h,,336.08h,401.13h,,,,,1297.55h,,,,,,,
,SOL-1453,[Funds Update automation] UC1B case automation EE,1/21/26,0.00h,,,,6.68h,,,,,,2345.38h,,,,,,,
,SOL-1452,[Funds Update automation] UC6A case automation EE,1/21/26,0.15h,,,,0.18h,,,,,,2352.35h,,,,,,,
,SOL-1449,[Booking automation] Automate 34a test cases for booking,1/22/26,3.07h,,,,44.72h,,,,,,2327.75h,,,,,,,
,SOL-1448,[TPH] [EndToEnd] - Incoming customer pacs.008 payment HAPPY PATH Automation,2/17/26,0.03h,,,,676.55h,,,0.05h,,0.00h,1699.90h,,,,,,,
,SOL-1447,[Booking automation] Automate UC5b test cases for booking,1/20/26,0.00h,,,,1.10h,,,,,,2375.58h,,,,,,,
,SOL-1446,"[IT Maintenance] grants for TPH DB pwhdb.tpwsearchq configuration PPTE, PROD",1/23/26,0.10h,115.50h,,,0.23h,,24.45h,0.03h,,,2302.92h,,,,,,,
,SOL-1442,"[Booking automation] Automate 13d, 13e test cases for booking",1/20/26,0.00h,,,,18.73h,75.28h,,,,,2375.58h,,,,,,,
,SOL-1441,"[Booking automation] Automate 13b, 13c test cases for booking",1/19/26,0.05h,,,,75.28h,,,,,,2394.33h,,,,,,,
,SOL-1439,[Booking automation] Automate 46b test cases for booking,1/16/26,0.02h,,,,2.47h,,,,,,2470.77h,,,,,,,
,SOL-1438,Update payment type resolver for FT,1/26/26,0.00h,,4.88h,,,,236.10h,0.02h,,,2232.38h,,,,,,,
,SOL-1435,[Booking automation] Rename UC24b to UC40a test cases for booking,1/15/26,0.00h,,,,1.70h,,,,,,2489.55h,,,,,,,
,SOL-1433,[MVP][TPH DB] Create script to set up Control Switches,4/21/26,1.92h,310.73h,147.48h,,,313.10h,1532.70h,,,,189.02h,,,,,,,
,SOL-1432,[Position Keeping] counterpartyAccountIban mapping improvement,1/17/26,0.17h,0.92h,,,26.38h,2.12h,3.20h,22.48h,,,2441.82h,,,,,,,
,SOL-1429,[ROMA CONF][MVP] Configure RoMa and RoMa Spring to route the message MT991 from TPH to SAA,2/13/26,1.43h,33.78h,1.05h,,189.00h,444.42h,1.12h,49.62h,,,1799.18h,,,,,,,
,SOL-1427,DP.RETURN_CHARGES_AMOUNT is not mapped,1/14/26,0.00h,,0.75h,,3.92h,1.48h,,,,,2513.80h,,,,,,,
,SOL-1425,"[Booking automation] Automate 6a,b test cases for booking",1/14/26,0.02h,,,,1.27h,,,,,,2519.78h,,,,,,,
,SOL-1424,[PODM Mapping] Update mapping rule for debtor and creditor name,1/21/26,0.00h,0.20h,,,3.40h,3.32h,166.07h,0.02h,,,2348.22h,,,,,,,
,SOL-1423,[MQ][MVP] Order and configure MQ: TPH -> SAA (SWIFT Alliance Access),2/13/26,21.47h,22.10h,,,550.82h,95.25h,1.22h,49.63h,,,1799.18h,,,,,,,
,SOL-1421,[Booking automation] fix UC2c automated booking test cases,1/13/26,0.02h,,,,23.27h,,,,,,2538.88h,,,,,,,
,SOL-1420,[MVP] Booking service error handling,,0.00h,216.00h,,,461.90h,185.85h,1699.77h,,,,,,,,,,,
,SOL-1418,Booking Non-STP from Nostro to Customer (INVA-VOST/CUST) resolves to incorrect transcation events,1/13/26,2.13h,,,,19.70h,,1.42h,2.43h,,,2538.88h,,,,,,,
,SOL-1415,"[Booking automation] Automate 48a,b,c,d test cases for booking",1/12/26,0.02h,,,,4.60h,,,,,,2563.37h,,,,,,,
,SOL-1412,Business Continuity Plan review and update,,2635.57h,,,,,,,,,,,,,,,,,
,SOL-1410,"[TPH DB] Update user roles descriptions in GATE (TEST), PPTE, PROD",1/16/26,0.00h,101.50h,,,28.03h,44.37h,0.27h,0.00h,,,2466.87h,,,,,,,
,SOL-1409,Sync test framework functionality across apps,1/14/26,0.00h,,,,141.68h,,,,,,2516.20h,,,,,,,
,SOL-1408,[PODM Mappings Update] docDt not mapping during Return payment,1/13/26,0.00h,,0.33h,,0.22h,24.18h,88.55h,0.07h,,,2544.73h,,,,,,,
,SOL-1407,"[Booking automation] Automate 47a,b,c,d test cases for booking",1/9/26,0.02h,,,,23.40h,,,,,,2636.17h,,,,,,,
,SOL-1406,Fix SonarQube issues in TPHBIL-API-TESTS repository,1/9/26,0.02h,,,,18.43h,,,,,,2641.32h,,,,,,,
,SOL-1405,[TPH DB][Valid values] script overall valid values,,1654.27h,,,,,,,,,,,1006.37h,,,,,,
,SOL-1403,"[Booking automation] Fix failing booking test cases UC16, UC17",1/8/26,0.00h,,,,1.95h,,,,,,2661.03h,,,,,,,
,SOL-1402,[Booking automation] Automate 42b test cases for booking,1/15/26,0.02h,,,,11.45h,161.78h,,,,,2491.27h,,,,,,,
,SOL-1401,[PODM Mappings Update] UNSTRUCTURED_REMITTANCE_INFO mapping decision sequence,1/21/26,0.00h,23.62h,0.52h,,4.28h,16.48h,287.63h,0.02h,,,2349.33h,,,,,,,
,SOL-1399,[Booking automation] Automate 46a test cases for booking,1/7/26,0.00h,,,,3.15h,,,,,,2682.47h,,,,,,,
,SOL-1397,[TPH] [BB TPH IL] - FU integration with PODM Automation,4/24/26,119.85h,,,5.45h,2325.38h,,,,,,238.53h,,,,,,,
,SOL-1395,[Booking automation] Automate 43ab test cases for booking,1/7/26,0.03h,,,,24.73h,,,,,,2685.65h,,,,,,,
,SOL-1394,[MVP][PODM Mappings] Implement new design for mapping Correspondent account scenarios to PODM,,17.40h,6.18h,,,2602.20h,73.68h,31.15h,,,,,,,,,,,
,SOL-1393,[MVP][Funds Update] FU to PODM UPDATE endpoint call when Position Keeping fails to provide error code in DP,,0.02h,863.28h,842.72h,,64.53h,145.62h,817.28h,,,,,,,,,,,
,SOL-1392,Tieto package installment (TPH Delivery 2.5.22 Patch 01),1/15/26,0.05h,,,,306.82h,,,,,,2496.42h,,,,,,,
,SOL-1391,[MVP][PODM Mappings] Remove unused parts of old correspondent account to PODM mapping design,2/19/26,75.65h,25.30h,,,,1025.57h,31.20h,,,,1650.27h,,,,,,,
,SOL-1390,[Booking automation] Automate 30a test cases for booking,1/6/26,0.02h,,,,146.13h,,,,,,2710.43h,,,,,,,
,SOL-1389,[TPH DB] Create script for adding Transaction queues to all TPH bankids,,433.20h,,832.67h,,1296.47h,,314.08h,,,,,,,,,,,
,SOL-1388,[Booking automation] Automate 29b test cases for booking,12/30/25,0.00h,,,,1.00h,,,,,,2875.85h,,,,,,,
,SOL-1387,[MVP][TPH DB] Create a script to clean-up currency list and fix currency for BG,4/22/26,2496.70h,5.27h,45.25h,,142.62h,21.02h,0.88h,,,,165.95h,,,,,,,
,SOL-1384,[TPH DB][2 weeks before] Update script with newest list of countries for Unions,,0.15h,,,,,,,,,2880.70h,,,,,,,,
,SOL-1383,[TPH DB][2 weeks before] Update script with default nostro accounts,,0.02h,,,,,,,,,2880.93h,,,,,,,,
,SOL-1382,[TPH DB][2 weeks before] Update script with newest list of Bank Accounts,,0.22h,,0.05h,,,,,,,2897.90h,,,,,,,,
,SOL-1381,[TPH DB][Valid values] Update scripts with return and reject codes,,1894.20h,,,,,,,,,,,1005.08h,,,,,,
,SOL-1380,Tieto package installment (TPH Delivery 2.5.22),1/15/26,0.17h,,,,408.37h,,,,,,2496.42h,,,,,,,
,SOL-1379,[CORR ACC API] Update scenario solver rules relation to PODM actions,1/20/26,192.00h,6.37h,,,125.28h,17.37h,49.62h,138.93h,,,2375.60h,,,,,,,
,SOL-1378,[MVP][TPH DB][Bank corr types] Import default nostro accounts from FP,4/21/26,0.07h,2.02h,,,,647.58h,2203.80h,,,,190.33h,,,,,,,
,SOL-1374,[MVP][TPH DB] Apply various production values,4/21/26,2210.15h,1.30h,0.17h,,,647.67h,22.67h,,,,188.78h,,,,,,,
,SOL-1373,[CORE DB] Increase minimum amount threshold for LT Namecheck,1/16/26,1.03h,355.55h,,,6.52h,,243.10h,,,,2464.92h,,,,,,,
,SOL-1372,[Booking automation] Automate 29a test cases for booking,12/22/25,0.00h,,,,3.52h,,,,,,3068.10h,,,,,,,
,SOL-1371,[TPH] [BALTICS] Create a happy path test for FU integration with PODM,1/7/26,0.00h,,,,361.73h,27.63h,,,,,2682.40h,,,,,,,
,SOL-1366,[Booking automation] Automate 24b test cases for booking,12/22/25,0.02h,,,,69.12h,,,,,,3073.67h,,,,,,,
,SOL-1365,[PODM Mapping] mapping for default scenario,,0.05h,,,,4.32h,0.05h,259.65h,,,,,2879.27h,,,,,,
,SOL-1362,PODM api '../payments-archive/search' is not searching by ID only,12/22/25,21.23h,,,,,,68.97h,0.00h,,,3071.85h,,,,,,,
,SOL-1361,TPHBIL-API-Autotests accountcheck test account closed issue,4/15/26,2830.53h,,,,,,,,,,331.58h,,,,,,,
,SOL-1360,[Booking automation] Automate 16B test cases for booking,12/19/25,0.00h,,,,23.18h,,,,,,3142.27h,,,,,,,
,SOL-1357,"[Booking automation] Automate 15A,B test cases for booking",12/18/25,19.72h,,,,2.27h,,,,,,3165.57h,,,,,,,
,SOL-1356,[Booking automation] Automate 14B test cases for booking,12/18/25,0.02h,,,,20.25h,,,,,,3168.05h,,,,,,,
,SOL-1355,[Booking automation] Automate 14A test cases for booking,12/18/25,0.00h,,,,22.00h,,,,,,3168.05h,,,,,,,
,SOL-1350,"[Booking automation] Automate 13a,b test cases for booking",12/17/25,0.25h,,,,5.27h,,,,,,3188.52h,,,,,,,
,SOL-1348,[CORR ACC API] replace last 'default' rule to error exception in scenario solver,1/26/26,0.32h,1.67h,,,333.28h,146.23h,379.75h,123.78h,,,2228.48h,,,,,,,
,SOL-1347,AML HOLD(inva) to AML Freeze(invf) booking scenarios are not resolving in LT/EE,12/16/25,0.33h,,,,,,,,,,3215.03h,,,,,,,
,SOL-1346,[Booking automation] Automate 11a test cases for booking,12/16/25,0.00h,,,,8.03h,,,,,,3208.45h,,,,,,,
,SOL-1345,Booking service passed incorrect processed date of the payment to correspondent API,12/19/25,7.90h,,,44.90h,,,,,,,3140.77h,,,,,,,
,SOL-1339,[Booking automation] Add debit klk assertions to booking UC10,12/12/25,0.07h,,,,1.65h,,,,,,3308.40h,,,,,,,
,SOL-1337,createTransactions request 'customerCode' mapped with 'accountId' value,12/15/25,0.00h,,0.07h,,67.07h,5.18h,0.00h,0.00h,,,3240.53h,,,,,,,
,SOL-1336,"[TPH] Enable DB sync in PPTE, GATE",,71.83h,142.97h,3074.42h,,24.05h,0.00h,,,,,,,,,,,,
,SOL-1335,[CORE DB] Create and update correspondent transactions events for TPH payments,1/14/26,117.80h,499.32h,,,2.87h,,188.62h,7.28h,,,2514.37h,,,,,,,
,SOL-1334,[CORR ACC API] Update scenario solver rules and map new event tpopc,1/14/26,117.85h,1.15h,,,360.87h,167.30h,20.55h,148.18h,,,2514.38h,,,,,,,
,SOL-1333,[ISOX] configuration (swift.cbprplus.03) is missing pacs.009 for TPH,12/16/25,0.32h,0.00h,,,1.53h,0.00h,116.97h,0.00h,,,3214.70h,,,,,,,
,SOL-1331,Remove PODM test API,12/11/25,0.70h,0.52h,,,3.12h,,,,,,3331.90h,,,,,,,
,SOL-1330,Setup for Home profile,,0.03h,138.42h,,,2544.45h,666.73h,,,,,,,,,,,,
,SOL-1329,[CORRESPONDENT to PODM RESOLVER] Proceed from correspondent resolver to PODM resolver only if correspondent flow is contained in PODM resolver first column,,21.27h,,,,0.12h,401.28h,290.75h,,,,,2640.40h,,,,,,
,SOL-1328,[PODM Mappings] Improve FU CRE-side UPDATE endpoint mappings of AMOUNT and CURRENCY fields,1/2/26,0.18h,,,,2.38h,161.28h,386.48h,0.33h,,,2803.82h,,,,,,,
,SOL-1326,Add deployment readme file to TPH repository,12/19/25,0.02h,,,,,221.27h,,,,,3138.30h,,,,,,,
,SOL-1325,Integration to PODM to create fake payment,12/15/25,0.00h,,,,78.63h,47.35h,,,,,3233.65h,,,,,,,
,SOL-1323,DP_ISO.SERVICE_LEVEL_CODE is not mapped correctly,1/6/26,0.62h,165.88h,0.00h,,89.35h,73.77h,340.05h,0.00h,,,2708.47h,,,,,,,
,SOL-1322,TPH RoMa 3.x upgrade,2/9/26,168.82h,0.45h,,,768.58h,547.25h,,,,,1895.25h,,,,,,,
,SOL-1496,[IBANK LT/EE] Not possible to open payment in transaction details screen,,3385.32h,,,,,,,,,,,,,,,,,
,SOL-1319,[Payments Operations] TPH UI user role for Homeprofile,,0.02h,,1131.77h,,2254.12h,0.00h,,0.00h,,,,,,,,,,
,SOL-1318,CPU don't show any values in PROD dashboard,1/23/26,0.00h,25.07h,,,1053.55h,22.08h,,,,,2303.98h,,,,,,,
,SOL-1316,Automated DB scripts migration PPTE -> PROD,,2375.08h,,,,,,,,,,,1031.70h,,,,,,
,SOL-1315,[PODM Mapping] Update PODM JSON VALUE_DATE mapping path in Bookings; all endpoints,12/10/25,3.08h,,,,,42.60h,,,,,3361.38h,,,,,,,
,SOL-1314,Setup Sterling transfer for replica,1/22/26,0.00h,0.03h,,,1079.37h,,,,,,2327.80h,,,,,,,
,SOL-1312,Integration with Accounts APIs,12/19/25,28.47h,0.17h,,,218.17h,18.92h,,,,,3142.35h,,,,,,,
,SOL-1311,Integration with ISOX API,12/19/25,28.47h,0.08h,,,217.27h,19.02h,,,,,3143.25h,,,,,,,
,SOL-1310,Tieto package installment (TPH Delivery 2.5.21 Patch 18),12/8/25,0.02h,,,,3.32h,,,,,,3404.87h,,,,,,,
,SOL-1307,[Booking automation] Automate 6a test cases for booking,12/8/25,0.00h,,,,64.10h,,,,,,3409.38h,,,,,,,
,SOL-1306,[PODM Mapping] Find the solution how PODM can update DB fields to NULL,12/11/25,0.00h,,,,,146.38h,,,,,3333.40h,,,,,,,
,SOL-1305,[Booking automation] Automate 5a test cases for booking,12/5/25,0.02h,,,,8.13h,0.00h,,,,,3473.50h,,,,,,,
,SOL-1303,[PODM Mapping] Update PODM mappings default rule for field CORRESP_ACCOUNT_CODE (crspdtAcctCd),1/5/26,0.02h,,,,1.18h,1.22h,647.62h,139.20h,,,2735.85h,,,,,,,
,SOL-1302,[Booking automation] Automate 12ABFGH test cases for booking,12/3/25,0.03h,,,,3.80h,,,0.00h,,,3522.05h,,,,,,,
,SOL-1301,Booking transaction is not resolving to TPOC for tranft vostro to nostro payments,12/4/25,42.72h,,,,,,,,,,3505.22h,,,,,,,
,SOL-1300,Enable Async logging in TPH,,168.28h,0.90h,1775.85h,,20.47h,22.88h,,,,,,1560.37h,,,,,,
,SOL-1299,[Booking automation] Automate 17A test cases for booking,12/3/25,0.25h,,,,22.63h,,,,,,3525.92h,,,,,,,
,SOL-1297,[MVP][TPH DB][Schemes] Update scripts for Payment processing schemes,4/21/26,2689.05h,1.70h,,,,647.98h,21.10h,,,,190.35h,,,,,,,
,SOL-1296,[Booking automation] Automate 10A test cases for booking,12/4/25,0.02h,,,,55.33h,,,,,,3498.17h,,,,,,,
,SOL-1294,[MVP] Logs - change log level from WARN to ERROR in case of exception processing,,23.63h,0.57h,3547.37h,,,,,,,,,,,,,,,
,SOL-1293,"[PODM Mapping] Fix VALUE_DATE mapping for INSERT, UPDATE, RETURN endpoints",12/1/25,0.00h,0.45h,,,4.15h,,,,,,3571.22h,,,,,,,
,SOL-1292,[Booking automation] Automate 4b test cases for booking with charges,12/1/25,0.00h,,,,7.48h,,,,,,3568.33h,,,,,,,
,SOL-1291,[PODM Mapping] Add rule to Agent Clearing System Code and MemberID mapping,,0.00h,95.60h,,,39.27h,343.07h,285.65h,,,,,2879.27h,,,,,,
,SOL-1370,Update W670 Service Offering description in SNAP,,3643.25h,,,,,,,,,,,,,,,,,
,SOL-1289,[PODM Mapping] Add rule to Agent Clearing System Code and MemberID mapping,1/7/26,0.58h,95.65h,,,17.60h,481.22h,341.62h,17.30h,,,2689.50h,,,,,,,
,SOL-1287,[Booking automation] Automate 4a test cases for booking,12/1/25,0.02h,,,,69.60h,,,,,,3575.85h,,,,,,,
,SOL-1285,[Booking automation] Automate 3E test cases for booking,11/28/25,75.25h,,,,20.57h,,,,,,3645.25h,,,,,,,
,SOL-1284,[Booking automation] Automate 3CD test cases for booking,11/27/25,0.02h,,,,75.57h,,,,,,3665.85h,,,,,,,
,SOL-1283,[CORR ACC API] Parameter Suund value for event tpntl is incorrect,12/8/25,0.00h,25.88h,,,,79.28h,227.03h,1.13h,,,3408.08h,,,,,,,
,SOL-1282,Tieto package installment (TPH Delivery 2.5.21 Patch 10),12/1/25,238.15h,,,,,,,,,,3578.22h,,,,,,,
,SOL-1281,[Booking automation] Automate 2c test cases for booking,11/21/25,0.08h,,,,19.55h,,,,,,3814.80h,,,,,,,
,SOL-1280,[MVP][TPH DB] Create replica for MVP business configuration,3/31/26,0.20h,,3142.83h,,,,,,,,694.30h,,,,,,,
,SOL-1279,[PODM Mapping] Add new OUT_CHANNEL_CODE mapping to TPHFT,12/11/25,0.02h,144.52h,,,4.60h,18.17h,361.22h,,,,3331.67h,,,,,,,
,SOL-1278,"[PODM Mapping] Add new OUT_CHANNEL_CODE mapping to TPHFI, TPHFO",12/11/25,0.02h,144.57h,,,4.60h,18.17h,357.55h,,,,3335.32h,,,,,,,
,SOL-1277,[CORR ACC API] Update scenario solver rules and add back tpito event,12/15/25,24.03h,0.25h,,,71.53h,115.67h,364.60h,71.10h,,,3237.30h,,,,,,,
,SOL-1275,Update daily CSV report trigger script in PPTE for skipping PARAM file,12/2/25,0.22h,194.67h,,,0.00h,70.47h,1.37h,94.72h,,,3548.83h,,,,,,,
,SOL-1269,dbtrAgt mapping to PODM,12/23/25,934.33h,,0.00h,,,,,,,,3044.40h,,,,,,,
,SOL-1267,"[PODM Mapping] Add new OUT_CHANNEL_CODE mapping to TPHFI, TPHFO",12/11/25,0.03h,144.68h,120.68h,,4.60h,18.08h,357.55h,,,,3335.32h,,,,,,,
,SOL-1263,"Accounts API exception processing, Closed account response ignored",11/21/25,0.37h,42.92h,122.05h,,1.68h,,6.80h,,,,3809.70h,,,,,,,
,SOL-1262,Setup Andromeda application,2/9/26,0.00h,287.38h,,,881.10h,144.75h,799.88h,,,,1889.57h,,,,,,,
,SOL-1261,[MVP][Access Management] TPH IBM MQ,,0.02h,,2351.90h,,1657.22h,,,,,,,,,,,,,
,SOL-1260,[TPH][DEV] TPH RoMa monitoring cases,,0.00h,,4025.37h,,,,,,,,,,,,,,,
,SOL-1259,[PODM Mapping] Add new OUT_CHANNEL_CODE mapping to TPHFT,12/11/25,24.47h,266.27h,19.87h,,4.60h,18.08h,357.55h,,,,3335.33h,,,,,,,
,SOL-1258,[Booking automation] Automate 2b test cases for booking,11/17/25,0.02h,,,,124.80h,,,0.00h,,,3905.87h,,,,,,,
,SOL-1257,[PODM Scenarios][PODM Mappings] Add new PODM Scenarios and PODM Mappings,,0.00h,0.22h,1.13h,,815.28h,23.75h,314.25h,,,,,2879.23h,,,,,,
,SOL-1256,REMIT_ACC_IS_OURS wrong value assigned for VOST account,12/11/25,0.15h,,,,66.15h,,649.32h,,,,3335.50h,,,,,,,
,SOL-1255,PODM deployment to prod fails,,0.02h,,,,,379.22h,,,,,,3672.27h,,,,,,
,SOL-1254,Update FU to TPH response mapping - Position Keeping response code: 91,,0.57h,694.10h,1249.80h,,17.13h,145.27h,865.12h,,,,,1081.83h,,,,,,
,SOL-1253,unstructuredTransactionDetails construction using 'description' instead of 'details' value from Position Keeping API response,11/13/25,0.02h,5.10h,,,18.93h,24.50h,1.72h,,,,4005.95h,,,,,,,
,SOL-1252,Sterling is moving from IP to instead use DNS,,0.00h,24.82h,0.43h,0.12h,,,,,,,,4032.03h,,,,,,
,SOL-1251,[End-to-End testing] Transaction details contains excessive data,12/5/25,0.25h,42.52h,,,166.05h,122.05h,263.27h,4.82h,,,3476.47h,,,,,,,
,SOL-1750,Migrate Solaris team repositories,,0.10h,4078.10h,,,,,,,,,,,,,,,,
,SOL-1250,Migrate API tests to Github,2/24/26,0.00h,46.72h,,,975.73h,1518.20h,,,,,1538.18h,,,,,,,
,SOL-1249,Move properties classes to API clients packages,12/2/25,0.00h,27.48h,,,190.20h,43.77h,264.33h,,,,3553.10h,,,,,,,
,SOL-1248,Booking service is throwing Rest client exception,11/12/25,33.27h,,,,,,,14.92h,,,4031.02h,,,,,,,
,SOL-1244,[Booking automation] Automate 2a test cases for booking,11/12/25,0.00h,,,,136.47h,,,,,,4033.40h,,,,,,,
,SOL-1243,THP/Integration layer experiencing timeouts,11/11/25,94.27h,,,,,,,36.05h,,,4045.90h,,,,,,,
,SOL-1242,[Booking automation] Change customer data to be test customer data,,0.00h,,,,,,,,,,,4196.52h,,,,,,
,SOL-1241,[Booking automation] change all booking customer data to be test customer data,11/6/25,0.20h,,,,24.43h,,,,,,4172.03h,,,,,,,
,SOL-1240,[Booking automation] Change customer data to be test customer data,,0.20h,,,,,,,,,,,4196.50h,,,,,,
,SOL-1239,Tidy up all 18 booking tests for better maintainability/readability and link to the scenario excel,11/5/25,0.00h,,,,18.73h,,,,,,4200.60h,,,,,,,
,SOL-1288,[ISOX] local_system_reference coming from TPH is overwritten by ISO Exchange,,22.18h,680.63h,3331.93h,,2.70h,185.60h,,,,,,,,,,,,
,SOL-1238,Remove test coverage in code for getPaymentId,12/29/25,0.02h,6.17h,,,58.68h,6.38h,1253.02h,,,,2901.23h,,,,,,,
,SOL-1237,"unstructuredTransactionDetails - returns, update input to PODM: getArchivalCode",11/13/25,0.00h,21.30h,0.03h,,0.00h,167.82h,46.83h,,,,4004.93h,,,,,,,
,SOL-1236,Automate booking scenario STP flow NOSTRO to VOSTRO + Charges LT/LV/EE,11/4/25,0.00h,,,,22.07h,,,0.00h,,,4219.60h,,,,,,,
,SOL-1235,Automate booking scenario STP flow NOSTRO to VOSTRO LV,11/4/25,0.00h,,,,23.45h,,,,,,4219.60h,,,,,,,
,SOL-1234,"[Helmchart] SDTPS-6166: TPH internal values, add VOST account for cover check",12/11/25,2.40h,192.80h,17.23h,,1.18h,288.17h,408.67h,,,,3334.05h,,,,,,,
,SOL-1233,Add new FU DEB INSERT use-case: Outgoing Bank to Bank payment,1/21/26,0.00h,266.27h,334.02h,,882.57h,193.05h,290.67h,0.00h,,,2349.32h,,,,,,,
